distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,13.162383855020822,0.40624723809162727,35.2922153245698,0.07913891439108851,228.71914495544434,8.005772443899072,8.36711480570227,1.648307800361392,294.09657356479426,38.45681991819359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,256.7286863836724,-2.112803039037757
2000,12.927711537462548,0.41283645581853584,35.24077291390515,0.08881460275363845,223.52339182535806,6.093762937236704,7.569596038236456,1.0575556257261138,283.3079304346906,26.519744130439555,-5.195753130086274,-0.409938222220068,0.4275855938780468,-0.8157583983103995,0.1964667698589321,-0.7975187674658137,0.0425909841267603,0.0444244772860308,-0.183167009263446,0.1679106216269003,0.8750000000000001,0.0485103599906692,0.125,0.05,0.025,0.05,258.03966745347725,-2.167517277423755
3000,12.888681159908552,0.4496534807951128,35.22092566179321,0.0960612160544533,225.0160475014454,10.528467371244888,8.575654897522508,1.4647343574449692,275.01755483435403,51.10258245524764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,258.2745875796887,-2.364855229296793
4000,12.672862998871192,0.44753719630052513,35.1584592393469,0.10062004390953612,219.1556793746697,6.173952201618331,10.159367702447193,1.2048414302176729,306.87577336027493,64.3144665400984,-4.367712450688373,-2.1202805977322554,0.644487815059162,-3.191760667406961,0.3948947542930698,2.589771664210737,0.2202888932708837,0.0669597007238463,2.335492315140057,0.2001392592385431,0.275,0.1702120212197969,0.275,0.1444509608706007,0.425,0.05,259.55133551434227,-2.3745894587974306
5000,12.433346469754387,0.29814172472487926,35.09431188487968,0.049670144273701713,209.7452705462673,6.31971355485589,11.8694789541584,1.2421217898210282,347.9189630362557,54.58846973152596,-9.410408828402382,-2.975451785488348,1.3360984136066478,-6.518163844142147,1.5300575942689008,1.710111251711206,0.3091378478429453,0.1388157014521815,1.3280285853786562,0.1047023338372291,0.325,0.2003370987813882,0.275,0.1437731924006112,0.375,0.0387057610577852,260.97565569277816,-1.597372096727213
6000,12.577211417287769,0.3324100637769866,35.128641230328554,0.06076102401113258,208.6640668280428,3.8616301856475452,11.291694506029172,1.1976189974595384,365.58822965518476,51.09769877128555,-1.0812037182245149,-0.8375238160981149,0.4275855938780468,-0.3405579444910867,0.2675752210255738,-0.5777844481292274,0.0870154614127912,0.0444244772860308,-0.6868988741441469,0.1679106216269003,0.325,0.2152577817471309,0.375,0.0746330602294947,0.225,0.1153126103181892,260.1572460846314,-1.770516517250968
