distance,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,nan,nan,nan,nan,nan,-1.257419914972214,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,239.79834301540626,-0.6619712209560049
2000,nan,nan,nan,nan,nan,-1.7070951680001167,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,239.81048130725264,-0.8081530871637455
3000,-3.056434485560004,-0.958477570607644,0.7401423515205615,-2.656228899430389,0.7350800041639292,0.43464120532262385,0.099582085257937,0.0768980218643725,0.202606541540032,0.17172923471178736,0.6250000000000001,0.1342251045504235,0.17500000000000002,0.0812932311251221,0.225,0.05567684782026554,239.39052846085426,-0.733607656930019
4000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,239.33424536695816,-0.6997940585414142
