distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
500,12.751243869247643,0.33698878064365956,35.18678696259208,0.060652548929863194,237.50418165088755,6.153776636711634,8.925968116835543,1.1303211219515448,383.22398098655367,66.45715714144508,-4.703334065665189,-2.2438857696692724,2.5658726157263128,-3.0861671952110727,0.998546179253744,1.361023849562594,0.2331309890565478,0.2665840908153853,0.908809916446712,0.3137462411569175,0.5750000000000001,0.1467952851870949,0.225,0.0796949178935734,0.175,0.0663154795577592,259.1406989748993,-1.7819070275060938
1000,12.712143455021499,0.373159644834729,35.178504301886996,0.06648833478430788,240.4590562537543,6.293141972531241,8.647758502570417,1.2455334504726945,345.86080736616015,84.76982217492406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,259.33519277798706,-1.9764202446093009
1500,12.908099808322236,0.30673066146131917,35.21579332296696,0.050005382556691944,235.301062557242,4.57953516991016,7.0508004630553645,1.3430243841993796,410.6391474598529,81.11829226232486,-2.2031190936455403,-0.2383154427216696,0.4011140653895202,-0.5394520740809279,0.6366787802825353,-1.8751676537801787,0.0247600459970566,0.0416741886118982,-1.3224059956554342,0.1859346593418456,0.6250000000000001,0.05,0.325,0.05,0.025,0.05,258.28157326254967,-1.6116708278589442
2000,12.909374759723642,0.2912961878596272,35.21922689989165,0.04570948666306821,230.18693486563166,4.746944836038782,7.981435782384269,1.5332860446787124,415.664653974199,84.20909812363134,-5.114127691610349,-2.2438857696692724,1.4451428340837709,-2.4494884149285374,1.0822106132464342,0.9306353193289044,0.2331309890565478,0.1501444470435416,0.5369405977630213,0.1946463867005013,0.475,0.2418988684366393,0.275,0.1328598488338402,0.225,0.080156016148546,258.2723802242991,-1.5304315524279275
2500,12.809413058673842,0.29991974163411594,35.204213371636115,0.045886896048605595,221.69753329621645,3.184125584886152,9.288133658577415,0.7554395297688669,453.5190252623739,52.96285709166374,-8.489401569415207,-5.051684227395915,1.4105656311248498,-3.0861671952110727,0.9168175105679608,1.3066978761931465,0.5248503093398355,0.1465525077790822,0.908809916446712,0.2220385548933066,0.475,0.2182368980478924,0.275,0.1385362750708035,0.275,0.0667357832898564,258.8538185668885,-1.5819206763619036
