distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,5.100012014553478,0.22063999140582402,34.26762871513018,0.02375235936550894,228.91246908241237,10.362719775875727,28.647523398711304,0.6585237759330982,825.5830068328336,64.49796003772589,-2.314734286728253,-4.653169004377306,0.8022313380751297,1.9921261205120064,1.059932700442161,0.3410849526663817,0.4834461303249148,0.0833485103236444,-0.2001736064377388,0.111600409095755,0.5750000000000001,0.1078990809083513,0.325,0.0866116937929684,0.125,0.1407088673040887,308.80398134584686,-1.601129747633422
2000,5.113626758908449,0.20359091464017107,34.270241459273045,0.017588026345825375,224.79873786174076,6.591485867501062,28.645203851754324,0.856541321154973,823.1815358910576,45.4024432970371,-4.11373122067161,-4.653169004377306,0.3661738254304174,1.9921261205120064,1.059932700442161,-0.0023195469569792,0.4834461303249148,0.0380439144741715,-0.3345805251661602,0.1344069187284211,0.025,0.05,0.375,0.0881820966264796,0.525,0.05,308.69766102835973,-1.4765282856167516
3000,5.098025686229661,0.18730406205285738,34.267376807020156,0.011349178452249902,227.1065721671716,6.836579915798682,27.794721167226935,1.1424683295569613,822.6585821239457,57.514153116520504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,308.8170808971092,-1.3593442995771738
4000,5.0480459652214185,0.20123115669266664,34.25914207750532,0.018173506742195297,224.44193286428793,8.462454474398772,28.17854099256102,1.018814124705801,821.8074837601598,73.57897328768345,-0.3568049974528264,-2.190610626884453,1.3514440785111097,3.0520588209541675,0.7901275791679311,-0.4666628591933026,0.2275959092866963,0.1404114451103437,-0.6033943626230027,0.1729374501848019,0.275,0.2056427252459654,0.325,0.0801590047200518,0.375,0.0869676950991823,309.1985776504958,-1.4636403817157486
5000,5.108102268435235,0.20386103160648594,34.26897368476869,0.018311952589777983,222.73304005618695,9.386960943275376,28.277092603950784,1.1214420696340253,832.3009739106956,61.104089715338624,-1.708892808100984,-3.0114634193820717,0.8208527924976181,1.9921261205120064,1.059932700442161,0.0985516113897624,0.3128793162994359,0.0852834070127394,-0.2001736064377388,0.1344069187284211,0.275,0.1267260796737137,0.375,0.1190431557866345,0.225,0.1000580625278697,308.7465456485796,-1.4788022489617845
6000,5.174591742147669,0.20722493931791702,34.2787088630998,0.016050091405903223,217.53426727450807,7.136435507053869,28.350468495899545,1.023022911652365,854.6824526584395,55.1658247563895,-5.198772781678883,-2.190610626884453,2.377586237386088,-1.1876719808144758,1.86355046683218,0.0733758919487606,0.2275959092866963,0.2470164686430764,-0.2001736064377388,0.1289607020225491,0.525,0.05,0.275,0.0536005042081636,0.175,0.0964267434635833,308.25719033588035,-1.498716533318344
7000,5.203185732404737,0.19589298464819022,34.284162604275004,0.011651843852955767,217.83929890696368,6.362416573601404,28.375715269045322,0.9289039328481118,874.9566270956453,42.421655833246994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,308.051303940009,-1.4148670466655917
8000,5.223788530299768,0.1863020874257997,34.288278750719144,0.006291333934435282,215.25430027214463,6.843404819706325,28.126626068989943,1.1044260235565295,882.8494673655857,39.53174016538164,-2.279967002363435,-1.369757834386835,0.8208527924976181,-0.1277392803723156,1.235742099970658,-0.2238424269096022,0.1423125022739569,0.0852834070127394,-0.3345805251661602,0.0705831352946639,0.525,0.05,0.275,0.0677127617977906,0.175,0.0909357268987202,307.8983322126992,-1.3443300136873688
9000,5.272152876419179,0.1838951438616925,34.29591512260576,0.005643568669393232,215.08812558181745,5.560336742487894,27.965484744732194,1.014001938384879,891.8849807953734,39.972419412347065,-0.1661746903271819,-0.5489050418892187,0.8208527924976181,0.9321934200698454,1.059932700442161,-0.1611413242577484,0.0570290952612174,0.0852834070127394,-0.2001736064377388,0.1344069187284211,0.5750000000000001,0.05,0.225,0.0699162860486909,0.125,0.0631046516488156,307.53821484637257,-1.324111784032766
