distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
500,17.3359846164244,0.1546662849402179,34.71720095292603,0.01971585708849742,209.7091584356399,8.468123951095563,5.678112390136719,0.9454248076879128,255.47080294890347,35.67922432543068,-5.230055854611265,-1.3295565648738696,0.6541272388850042,-3.5022608024127906,0.6326269102315315,0.216885894607544,0.1381357469998825,0.0679612922811523,0.202606541540032,0.1717292347117873,0.325,0.1951310728894999,0.425,0.0573605304339707,0.225,0.1219450054556492,237.53831848330228,-0.730246589271772
1000,17.315547412456063,0.1654187469534967,34.71621922277157,0.03310503943823624,212.23140640500992,8.536693618195018,4.1921538705360595,0.9766860625701483,204.75829602798896,51.5869959193686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,237.56592528614996,-0.7899044866145744
1500,17.23862684297807,0.16335328164489032,34.69092209600468,0.03807277245664028,211.09175741622698,8.630691183640398,3.4508929183006285,0.9449282416527229,228.94784997681623,49.23888585445267,nan,nan,nan,nan,nan,-0.9744585098676356,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,237.1165154562324,-0.7598343912511609
2000,17.406741379310343,0.21272661639351914,34.74501172413793,0.0524704139997317,221.33467482517483,9.261964875826541,2.946305190839695,1.0989502650530087,137.21379310344827,41.235862564937754,-2.676698945709262,-0.2163195820751928,0.3710789942662256,-2.233212947939187,0.4230159514912008,-0.7856206001101906,0.022474761774046,0.0385536617419454,-0.827768866730691,0.1717292347117873,0.075,0.1630861254475518,0.475,0.05,0.375,0.0949098421933068,237.0445473379357,-0.7071103385098638
