distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,7.632282342111751,0.2706012316040967,34.41592617592462,0.029514754269295267,257.15393828093175,6.571788037226885,19.094400381563013,1.517684718802779,398.5032416217378,85.08972916401731,-6.124443066724496,-3.859507772689821,1.8494540114276847,-3.6503240963395474,1.9666076646523256,0.3729052300432371,0.400987820539203,0.1921518687366607,-0.436427180500103,0.2308108214716004,0.425,0.2409088540451244,0.225,0.0571919309206995,0.275,0.1627478717704251,290.76165883717727,-1.7667947066927638
2000,7.93109230903638,0.32372565303348877,34.451680351708994,0.0363200157320582,254.83286764280984,7.87850240222391,17.726018142425758,1.731049773477872,347.0519054881636,106.58141566537645,-2.3210706381219097,-1.6852221553114752,1.0871428086891726,-1.201898807654212,0.7418608385204748,-1.3683822391372544,0.1750880161362574,0.1129499022014728,-1.3596704663865051,0.0631086866865953,0.325,0.1457103171500899,0.475,0.059468454256961,0.175,0.09804067964613,288.7129923806881,-2.087505241283281
3000,8.008185452661166,0.33381675748073614,34.460451425307646,0.03743369622495804,246.65427429059187,6.822171564823901,18.94644540289716,1.0937588383455523,396.31835569899323,80.86547614358008,-8.178593352217973,-3.859507772689821,2.649923836866186,-4.874536740682212,1.8567443852942087,1.2204272604714037,0.400987820539203,0.2753175592346223,0.7176269268578999,0.2809793901856378,0.525,0.2121675473179898,0.275,0.1110824135090995,0.225,0.0965703686875196,288.23136031149653,-2.1452841568381587
4000,8.106929603419676,0.3470735663148091,34.47809886555376,0.03874506975531803,242.4157096729445,5.773564740956786,18.93317150924668,1.0893804948091685,418.1038974435081,76.46632192872019,-4.23856461764737,-1.6852221553114752,0.9085245707473596,-2.42611145199688,0.6442221946812343,-0.0132738936504814,0.1750880161362574,0.0943920635669279,0.0251944624430981,0.0878813019583269,0.6250000000000001,0.1065746630956721,0.225,0.0468679719184537,0.125,0.0649216680012684,287.57592194376014,-2.2209651647512203
5000,8.226597911766431,0.37303683383069425,34.50066282349005,0.04599418669188585,229.70161108985315,9.030869109969359,19.98955126203512,1.0684228236099904,476.81757868328873,55.43063804198355,-12.714098583091356,-4.9466505813789965,3.114520584805059,-7.322962029367545,2.403048239026027,1.056379752788441,0.5139377227406758,0.3235861520504267,0.4868161053862994,0.2968366894388748,0.475,0.1806309847539235,0.275,0.0682662218491431,0.225,0.1103263109607058,286.80511186361446,-2.374553375204073
