distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,12.883736548367855,0.3227686964499667,35.209772682406,0.0580143753940183,226.2225545807139,5.781098462939448,7.764954510242008,1.5566677435427985,445.32292443993794,89.96294464835651,-6.599657638524377,-3.2489369779223582,2.672983642709534,-4.206929223468221,1.811502946944835,1.5418841271701087,0.3375518938101152,0.2777125730633887,0.9025627731177336,0.3999153830331421,0.475,0.1764846749413828,0.325,0.1018650286539376,0.175,0.0696435589217276,258.4462246152956,-1.6975392064040309
2000,12.860825229628121,0.31440440823027127,35.20447861031298,0.05343053645236387,221.93705354775105,3.2292468547329274,9.637189270509992,0.8300877092597142,466.34286957639756,68.6704869613392,-4.285501032962856,-1.5466898489534209,1.5230726537301194,-3.288723068281425,0.8665774350201304,1.8722347602679843,0.1606950492419139,0.1582392764525697,1.499675556261398,0.2561068249897206,0.475,0.1384639720154529,0.225,0.1033792084121973,0.275,0.0393190509894713,258.5919570166395,-1.6550296893443033
3000,12.729114092388794,0.3253305799005525,35.16934926774697,0.056166429008220976,216.7792869580913,7.085065970849269,10.513641276245117,1.2185999275313002,518.2465186799006,83.38197581562719,-5.157766589659758,-1.9722516311956555,1.2688796189311555,-2.6765856314902283,1.1812357135322966,0.8764520057351248,0.2049092603839643,0.1318325813640678,0.7319591207909724,0.1015899731381367,0.425,0.2121406398414838,0.275,0.1362360421597421,0.275,0.0620975310016452,259.3894706351924,-1.7216599138766924
