distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,14.157866938391395,0.18288997201704404,35.4449146319722,0.04301661096979343,226.74030981248424,6.800925820505574,6.674812453621312,1.0388957690026228,230.7140000170331,42.38026157822102,-6.819690187515761,-7.251307724268814,1.4677011794541197,-4.617362028864898,1.1582066537925535,1.3198124536213118,0.7533826207032537,0.152489550201463,-0.183167009263446,0.1679106216269003,0.225,0.2009100569471952,0.525,0.0884433359745563,0.125,0.1044508620196789,251.33472141288743,-0.914687988998935
2000,13.785364111553857,0.28884792699664574,35.340032617404454,0.06579556047252652,216.3596735461005,5.0492637228326585,8.387954271064615,1.0021880432645753,291.2839366763285,35.88052268400169,-10.380636266383732,-4.685794161000535,0.4275855938780468,-6.042963390322834,1.0680442191369943,1.7131418174433026,0.4868357569870686,0.0444244772860308,0.9922073421248558,0.1205828557014598,0.325,0.1431284722683589,0.175,0.120185435956105,0.475,0.0377986572126964,253.4404889388667,-1.4664179109687012
3000,13.345781219401692,0.3405714031131187,35.21311326487817,0.07576297746517859,214.8521166135079,7.457197047279744,9.136689850524553,1.5872071341253418,291.3025970814192,57.31473534020325,-1.507556932592621,-0.409938222220068,0.4275855938780468,-1.2909588521297115,0.475200453819312,0.7487355794599377,0.0425909841267603,0.0444244772860308,0.6563860988710553,0.1679106216269003,0.275,0.1785395522327093,0.225,0.1251708038299376,0.475,0.0417934916037202,255.9175480919333,-1.760221781290042
4000,13.473332384823241,0.30001505200109724,35.24226097457573,0.06211117782074566,210.03633691473735,4.644220471678237,8.992160349218837,1.1847158124173107,298.15224733393734,48.9407666153408,-4.815779698770541,-1.6926950038542086,1.0623691635329635,-2.7165602135876483,0.9887619091240052,-0.1445295013057155,0.1758644159848528,0.1103763625489655,-0.3510776308903462,0.0864323069926641,0.325,0.2237853488519327,0.375,0.0721990746575216,0.225,0.1251100255994333,255.21306896795852,-1.5426512984451506
5000,13.732111849716707,0.34169770875859873,35.317752816328344,0.08250704960779154,208.6378732470455,4.367260474410931,8.929138014231679,1.3225195444425042,304.3156420769426,40.73947874297354,-1.398463667691857,-1.6926950038542086,0.5771134122376087,-0.3405579444910867,0.4194512483518029,-0.0630223349871581,0.1758644159848528,0.0599598592193554,-0.3510776308903462,0.1365932563532278,0.275,0.1885266510631023,0.475,0.066716603377591,0.175,0.1072108677192956,253.76010833487305,-1.7385795385598757
