distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,nan,nan
2000,10.144548179727119,0.28909130962277524,34.161725333210576,0.034956972025835885,213.72637074898387,21.41230921139407,15.111082383953157,1.4688732057238665,338.2750023359997,68.97874195760063,-16.310280862344257,-5.201982400314329,3.698586019758273,-11.371354149444947,4.110420844164844,1.04820472892386,0.5404657039287613,0.384264792878031,0.3627650377177893,0.2874468248364906,0.425,0.170476264518529,0.325,0.0554476092434749,0.225,0.1209513843918448,275.6278894774082,-1.7095996432230436
3000,10.7202,0.24233480971581406,34.2736,0.030295874306579918,215.0,0.0,12.672,0.0,282.0,53.81449618829484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,272.00547232308446,-1.3993863667801918
4000,10.112564207506386,0.26530945823396734,34.15100257391331,0.0350552823495003,194.7320218404134,7.429778434168825,16.953494169659084,1.0316700256671767,425.4762008600937,23.075769783290244,-18.99434890857046,-6.780871497289239,0.7894445484874542,-11.371354149444947,4.837960436654663,1.8424117857059272,0.7865263424183575,0.4665504752655697,1.030039104535769,0.3925057501526698,0.425,0.2787068072188626,0.225,0.1115793229140898,0.325,0.109939923843305,275.8999888317816,-1.5707903970224493
5000,9.988285498575483,0.22164363763421124,34.12895109194437,0.01870458478211835,207.01751304922857,7.235800222996748,16.235746939301826,1.0509276332109556,318.21392026388986,23.49159364813582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,276.6057161860538,-1.3193962607732033
6000,9.879791142605022,0.2410361485597226,34.104214616671946,0.03145862752809607,188.2761145169702,15.145258952301722,17.767095839335123,1.8485507015484186,370.49020790991864,32.94990583397353,-6.455907323443199,-0.4653151093895991,0.7894445484874542,-5.956435700676041,0.3448554831759209,0.8136016696760393,0.0483444269495688,0.0820202128298654,0.7631294778085771,0.133454813363596,0.5750000000000001,0.0803602008522279,0.075,0.0604523680739595,0.325,0.0221523078759106,277.33878202600806,-1.4412311919516867
7000,10.020139381715007,0.23529795703673156,34.13391668878513,0.028549938543454136,178.0045041041949,13.032547560811285,18.59970404590064,1.4250013441912208,396.52072745770874,34.70555995637993,-10.271610412775315,-4.412537851826873,3.0331639878533783,-5.053949292547889,2.5461720630016624,0.8326082065655172,0.4584454910988958,0.3151388516526047,0.2293102243541933,0.2737817589291634,0.425,0.1391841213450702,0.425,0.05,0.175,0.1167524345841174,276.4615208908659,-1.3985655710067704
8000,10.150807983598154,0.22761750307799714,34.162330166989484,0.025167911632435012,171.2576819205284,10.441043245377761,18.22483188287835,1.4687578093517688,426.02965381865357,34.96566551559825,-6.746822183666495,-2.044204206364509,1.5400855853226814,-2.346490068163435,1.6055210919504013,-0.3748721630222889,0.2123848526092996,0.1600089719336052,-0.3045090291001905,0.0946054086370324,0.425,0.111300073088898,0.475,0.05,0.125,0.0885976313178159,275.65179391830515,-1.3454225944846314
9000,10.320166666666665,0.14881130856072583,34.21,0.014023789311975505,183.63333333333333,11.377935762792045,17.418666666666667,1.190134399506581,448.34999999999997,31.2196919694392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,274.576528608696,-0.8732479240436533
10000,10.29264691317944,0.2015616237559323,34.19150944625097,0.014450999479865362,164.92417297363284,9.389089146396511,16.6635,0.4634999999999998,444.34336185103615,20.520298572793273,nan,nan,nan,nan,nan,-1.561331882878353,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,274.7715459299636,-1.1843196507263656
11000,10.317129553255464,0.20444792197603226,34.19743675221744,0.013850497810497138,163.60590576316253,10.366285650398623,19.134806386650933,1.3971061186445428,443.37481919551976,22.68991224506643,-7.651776157365873,-5.201982400314329,2.498866460488575,-4.151462884419738,2.5469463728246944,0.909974503772581,0.5404657039287613,0.2596214798734593,0.0958554109905973,0.2242158098581922,0.325,0.1935955519360522,0.425,0.05,0.275,0.1410414758673972,274.61544441666405,-1.2000455734874436
