distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
500,11.001828979100182,0.2587522823322002,34.89618584042783,0.048402536262037686,259.8823875790551,10.362488700562325,11.517133836688734,1.397790952723041,363.23428383927046,87.92966811647439,-7.420934259323815,-2.6449998350587927,1.8478803773741517,-5.632882316341218,1.7929696414041996,0.3729411410710579,0.274805177668446,0.1919886917889845,-0.2067980396043609,0.1254326494179816,0.675,0.0955950324387266,0.175,0.0270717484476235,0.125,0.0771435793403833,269.2520214761477,-1.468519411532526
1000,11.35395241370396,0.38999211665437444,34.96552716376416,0.07113250119134344,246.5347686290592,5.99487376084453,11.558287038094656,1.014327828564031,341.63289425144154,77.97646969984328,-13.347618949995905,-4.249456096616875,3.658238354392543,-8.816276217753899,2.5217652478800137,0.0411532014059226,0.4415019321160389,0.3800766946486554,-0.5786673582880522,0.195712293651258,0.425,0.1374283351633123,0.375,0.0400210172940957,0.175,0.1096858935141504,267.12043319554465,-2.181694926403168
1500,11.732350527568205,0.397875938945194,35.03445044450521,0.0695264967155407,239.56385286104194,8.278073638230383,9.69203352240049,1.602676866766595,419.6732927158102,78.85873814659017,-6.9709157680172495,-2.2438857696692724,0.4011140653895202,-3.0861671952110727,0.914729921925066,-1.8662535156941669,0.2331309890565478,0.0416741886118982,-1.8802099736809708,0.0975006362705013,0.275,0.1775599681469341,0.425,0.0481810073009307,0.225,0.1111867244692274,264.9469387533706,-2.1914063496421363
2000,11.583887400014511,0.360076851961921,35.01157952749492,0.06159092169560715,237.54574048377032,4.298007624772265,10.564043356643356,0.9521549310934203,355.43774749553756,49.2684274295374,-2.0181123772716205,-1.040543573500711,0.6845373307159391,-1.1761308543634632,0.5793570805843749,0.872009834242867,0.108108423220853,0.0711207877534974,0.7228752571048664,0.1859346593418456,0.6250000000000001,0.1046668482334235,0.125,0.0659612016969486,0.275,0.0455076206010853,265.7633190204577,-1.9953752343572544
2500,11.694888520038608,0.3535093987036486,35.027970942294516,0.054295802842093344,231.4600694724271,2.8870687644508997,10.195193333333334,0.8858538961301061,442.0573242510532,52.522305409889334,-6.085671011343209,-1.4416576388902311,0.9741232517182192,-4.359524755776145,0.971834593267798,-0.3688500233100225,0.1497826118327513,0.1012079101806646,-0.3927326989462065,0.1859346593418456,0.525,0.124833886972344,0.275,0.0530133993394477,0.175,0.0777997401627185,265.1819011490531,-1.949906946510339
3000,11.65644106627044,0.3640098229027888,35.01977204844538,0.05685611361475496,232.612024733057,2.820103540921223,9.91315,1.1295718885931962,437.38096010621865,47.275764251692884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,265.40609348022394,-2.0110136746096714
3500,11.667147136365022,0.35937705767119155,35.021657628297675,0.056121539622815464,231.43278427820772,2.2040444796654435,10.0,0.1999999999999993,465.272696581513,46.99399183648449,nan,nan,nan,nan,nan,-0.195193333333334,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,265.3638185224853,-1.984454821636064
4000,11.766879976833053,0.36950356352558644,35.04552631003066,0.061530918670520296,229.08267330467095,2.089434322864613,12.068102739715577,1.0565848768747206,492.617343342514,53.14050621667651,-2.37739616775616,-1.040543573500711,1.186817609124926,-1.8128096346460003,0.6043078832060846,1.8729094063822436,0.108108423220853,0.1233057303152793,1.4666138944722489,0.2709625305660149,0.425,0.1484503792671828,0.275,0.0914671889010246,0.325,0.0573041786455935,264.78960813357054,-2.031914965824825
4500,11.744528404348257,0.344659667429943,35.03469000600879,0.05237509699198055,225.78585714901195,2.3047990502616456,12.050658266754152,0.8854103193080752,521.6530551309341,39.535826333604774,-3.296816155659002,-1.040543573500711,0.732891970158123,-1.8128096346460003,0.736121332389591,-0.0174444729614258,0.108108423220853,0.0761450174354374,-0.0208633802625155,0.1859346593418456,0.525,0.1953409864522745,0.275,0.0931370870944574,0.225,0.0965634045863598,264.9542070723786,-1.8970368790878356
5000,11.74727997717613,0.3455283344411085,35.0362806483642,0.05395237089646309,226.87358691875755,2.4632846632707794,12.493612990570067,1.0089315802463579,541.7125629173632,42.676323540673955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,264.9508710771442,-1.90152142944396
5500,12.03438460521209,0.3344903855976787,35.11121280376728,0.05045601145816959,nan,nan,nan,nan,512.0,22.50925735484551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,263.21864961029564,-1.819168007820366
