distance,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,-6.334996499695222,-4.298188519003673,2.026305317779017,-4.771308656886394,3.414398953673105,0.8666498307661579,0.4465650409354464,0.21052286927722938,-0.14085192788354228,0.0700806872056904,0.37500000000000006,0.21977066536794024,0.37500000000000006,0.06645253609405671,0.225,0.1352754491371747,242.07780759644012,-0.8441246830045657
2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,242.09657262131853,-0.8634967292450995
3000,-4.664106223681586,-0.5873985763414185,0.2307387653189411,-3.0792448509215897,0.38942777494470904,-2.225142311006026,0.06102842351599151,0.023972858362497813,-2.2016027444249886,0.17172923471178736,0.025,0.09632029752960491,0.525,0.05,0.42500000000000004,0.05,241.97310751402608,-0.8697357564767572
4000,-2.5810972690681524,-2.07171455340632,1.376653363400197,-1.8101969964479863,0.5500366209538419,1.0403909231517208,0.2152430704837735,0.14302832802970525,0.7177942456753936,0.23864008662106756,0.37500000000000006,0.2573311516898935,0.32500000000000007,0.11603518808420342,0.275,0.09155705493951863,241.73861850033657,-0.8694569022375731
